"Artikelnummer";"EAN";"Bezeichnung";"Preis";"Rabatt";"Ihr Preis";"Lieferstatus";"Bildname";"USK/FSK";"Trailerlink";"Viewkey";"Warengruppe";"Untergruppe";"breadcrumb";"Genre"
"CDR11999";"4020628709822";"DIRT 5  Day One Edition  PC";"33.500";"0";"33.500";"Neuheit";"4020628709822.jpg";"6";"";"";"HCDR";"";"PC";"Rennspiele"
"CDR11915";"3512899122680";"SnowRunner  PC";"24.500";"0";"24.500";"kein Bestand";"3512899122680.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11916";"3512899122970";"SnowRunner  Premium Edition  PC";"37.500";"0";"37.500";"lieferbar";"3512899122970.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"PS45236";"3307216167242";"Assassin큦 Creed Valhalla  PS4";"48.000";"0";"48.000";"Neuheit";"3307216167242.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45257";"5030917290985";"Crash Bandicoot 4 - It큦 About Time  PS4";"42.500";"0";"42.500";"lieferbar";"5030917290985.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Fun & JumpNRun"
"PS45240";"4020628715878";"DIRT 5 - Launch Edition  PS4";"42.500";"0";"42.500";"Neuheit";"4020628715878.jpg";"6";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"NSW1463";"0884095198442";"ARK: Survival Evolved  SWITCH";"22.490";"0";"22.490";"lieferbar";"";"16";"";"";"SCH";"";"SONDERANGEBOTE";"Strategiespiele"
"NSW1434";"5026555067959";"BioShock - The Collection  SWITCH";"19.990";"0";"19.990";"lieferbar";"5026555067959.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"NSW1435";"5026555068079";"Borderlands  Legendary Collection  SWITCH";"19.990";"0";"19.990";"lieferbar";"5026555068079.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"CDR11068";"5026555065399";"Civilization VI  PC";"5.990";"0";"5.990";"lieferbar";"5026555065399usk.jpg";"12";"";"";"SCH";"";"SONDERANGEBOTE";"Strategiespiele"
"PS45122";"5026555425698";"Civilization VI  PS4";"14.990";"0";"14.990";"lieferbar";"5026555425698.jpg";"12";"";"";"SCH";"";"SONDERANGEBOTE";"Strategiespiele"
"XB11001";"5030917291081";"Crash Bandicoot 4 - It큦 About Time  Xbox One";"39.990";"0";"39.990";"lieferbar";"5030917291081.jpg";"";"";"";"SCH";"";"SONDERANGEBOTE";"Fun & JumpNRun"
"CDR11429";"5055856418580";"Fallout 4  Game of the Year Edition - Import (AT)  PC";"9.990";"0";"9.990";"lieferbar";"5055856418580.jpg";"19";"";"";"SCH";"";"SONDERANGEBOTE";"Rollenspiele RPG"
"PS45259";"5035225124427";"FIFA 21  PS4";"44.990";"0";"44.990";"lieferbar";"5035225124427.jpg";"0";"";"";"SCH";"";"SONDERANGEBOTE";"Sportspiele"
"NSW1362";"5026555067676";"NBA 2K20  SWITCH";"7.990";"0";"7.990";"lieferbar";"5026555067676.jpg";"0";"";"";"SCH";"";"SONDERANGEBOTE";"Sportspiele"
"PS45273";"5030937122983";"NHL 21  PS4";"39.990";"0";"39.990";"lieferbar";"";"12";"";"";"SCH";"";"SONDERANGEBOTE";"Sportspiele"
"XB11017";"5030948122989";"NHL 21  Xbox One";"34.990";"0";"34.990";"lieferbar";"";"12";"";"";"SCH";"";"SONDERANGEBOTE";"Sportspiele"
"PS45253";"3391892011746";"Project Cars 3  PS4";"39.990";"0";"39.990";"lieferbar";"3391892011746.jpg";"";"";"";"SCH";"";"SONDERANGEBOTE";"Rennspiele"
"PS44724";"5026555423076";"Red Dead Redemption 2  PS4";"14.990";"0";"14.990";"lieferbar";"5026555423076.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"PS45166";"5055060949634";"Resident Evil 3  PS4";"24.990";"0";"24.990";"lieferbar";"5055060949634.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"CDR11631";"3512899120648";"Spintires: MudRunner  American Wilds Edition  PC";"6.990";"0";"6.990";"lieferbar";"3512899120648.jpg";"0";"";"";"SCH";"";"SONDERANGEBOTE";"Rennspiele"
"CDR11757";"5055856424574";"The Elder Scrolls Online: Elsweyr - Import (AT)  PC";"9.990";"0";"9.990";"lieferbar";"";"";"";"";"SCH";"";"SONDERANGEBOTE";"Rollenspiele RPG"
"CDR10647";"5055856407812";"The Elder Scrolls Online: Tamriel Unlimited  3.000 Kronen";"14.990";"0";"14.990";"lieferbar";"5055856407812.jpg";"";"";"";"SCH";"";"SONDERANGEBOTE";"Online Games"
"PS45212";"0711719330202";"The Last of US  Part II  PS4";"29.990";"0";"29.990";"lieferbar";"0711719330202.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"PS45059";"5026555426183";"The Outer Worlds  PS4";"14.990";"0";"14.990";"lieferbar";"5026555426183.jpg";"16";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"NSW1426";"5026555067799";"The Outer Worlds  SWITCH";"19.990";"0";"19.990";"lieferbar";"5026555067799.jpg";"16";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"CDR11945";"3665962002126";"Tour de France 2020  PC";"14.990";"0";"14.990";"lieferbar";"3665962002126.jpg";"0";"";"";"SCH";"";"SONDERANGEBOTE";"Simulationen"
"PS45154";"3307216135142";"Watch Dogs: Legion  PS4";"44.990";"0";"44.990";"lieferbar";"3307216135142.jpg";"";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"PS45156";"3307216137320";"Watch Dogs: Legion  Ultimate Edition  PS4";"69.990";"0";"69.990";"lieferbar";"3307216137320.jpg";"";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"XB10946";"3307216135326";"Watch Dogs: Legion  Xbox One";"44.990";"0";"44.990";"lieferbar";"3307216135326.jpg";"";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"CDR11370";"5055856416562";"Wolfenstein II: The New Colossus - Import (AT)  PC";"7.990";"0";"7.990";"lieferbar";"5055856416562.jpg";"19";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"CDR3102";"3348542196902";"World of Warcraft  60-Tage Game Time Card";"19.990";"0";"19.990";"lieferbar";"world_of_warcraft_wow_60_days_gtc_game_time_card.jpg";"12";"https://www.youtube.com/embed/nK6smbbkHUk";"nK6smbbkHUk";"SCH";"";"SONDERANGEBOTE";"Online Games,Rollenspiele RPG"
"XB10985";"3307216167303";"Assassin큦 Creed Valhalla  Xbox One";"48.000";"0";"48.000";"Neuheit";"3307216167303.jpg";"";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB11015";"5030917292002";"Call of Duty: Black Ops - Cold War  Xbox One";"45.500";"0";"45.500";"Neuheit";"5030917292002.jpg";"18";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB11016";"5030917292019";"Call of Duty: Black Ops - Cold War - Import (AT)  Xbox One";"45.500";"0";"45.500";"Neuheit";"5030917292019.jpg";"19";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
